Date,,,cases,deaths
11-06-2020,,?,"2,244(+3.8%)",18(+1)
,,?,,
,,?,,
12-06-2020,,?,"2,322(+3.5%)",19(+1)
,,?,,
,,?,,
13-06-2020,,?,"2,407(+3.7%)",19(=)
,,?,,
,,?,,
14-06-2020,,?,"2,461(+2.2%)",19(=)
,,?,,
,,?,,
15-06-2020,,?,"2,543(+3.3%)",20(+1)
,,?,,
,,?,,
16-06-2020,,?,"2,622(+3.1%)",20(=)
,,?,,
,,?,,
17-06-2020,,?,"2,697(+2.9%)",20(=)
,,?,,
,,?,,
18-06-2020,,?,"2,794(+3.6%)",21(+1)
,,?,,
,,?,,
19-06-2020,,?,"2,912(+4.2%)",21(=)
,,?,,
,,?,,
20-06-2020,,?,"3,039(+4.4%)",21(=)
,,?,,
,,?,,
21-06-2020,,?,"3,172(+4.4%)",21(=)
,,?,,
,,?,,
22-06-2020,,?,"3,310(+4.4%)",21(=)
,,?,,
,,?,,
23-06-2020,,?,"3,451(+4.3%)",22(+1)
,,?,,
,,?,,
24-06-2020,,?,"3,603(+4.4%)",22(=)
,,?,,
,,?,,
25-06-2020,,?,"3,726(+3.4%)",22(=)
,,?,,
,,?,,
26-06-2020,,?,"3,876(+4%)",22(=)
,,?,,
,,?,,
27-06-2020,,?,"4,071(+5%)",22(=)
,,?,,
,,?,,
28-06-2020,,?,"4,189(+2.9%)",22(=)
,,?,,
,,?,,
29-06-2020,,?,"4,311(+2.9%)",23(+1)
,,?,,
,,?,,
30-06-2020,,?,"4,442(+3%)",24(+1)
,,?,,
,,?,,
01-07-2020,,?,"4,593(+3.4%)",25(+1)
,,?,,
,,?,,
02-07-2020,,?,"4,753(+3.5%)",25(=)
,,?,,
,,?,,
03-07-2020,,?,"4,964(+4.4%)",25(=)
,,?,,
,,?,,
04-07-2020,,?,"5,204(+4.8%)",25(=)
,,?,,
,,?,,
05-07-2020,,?,"5,429(+4.3%)",25(=)
,,?,,
,,?,,
06-07-2020,,?,"5,622(+3.6%)",27(+2)
,,?,,
,,?,,
07-07-2020,,?,"5,894(+4.8%)",27(=)
,,?,,
,,?,,
08-07-2020,,?,"6,195(+5.1%)",27(=)
,,?,,
,,?,,
09-07-2020,,?,"6,534(+5.5%)",27(=)
,,?,,
,,?,,
10-07-2020,,?,"6,950(+6.4%)",27(=)
,,?,,
,,?,,
11-07-2020,,?,"7,438(+7%)",29(+2)
,,?,,
,,?,,
12-07-2020,,?,"7,873(+5.8%)",31(+2)
,,?,,
,,?,,
13-07-2020,,?,"8,322(+5.7%)",33(+2)
,,?,,
,,?,,
14-07-2020,,?,"8,930(+7.3%)",34(+1)
,,?,,
,,?,,
15-07-2020,,?,"9,553(+7%)",35(+1)
,,?,,
,,?,,
16-07-2020,,?,"10,275(+7.6%)",37(+2)
,,?,,
,,?,,
17-07-2020,,?,"11,066(+7.7%)",38(+1)
,,?,,
,,?,,
18-07-2020,,?,"11,659(+5.4%)",40(+2)
,,?,,
,,?,,
19-07-2020,,?,"12,480(+7%)",42(+2)
,,?,,
,,?,,
20-07-2020,,?,"13,274(+6.4%)",43(+1)
,,?,,
,,?,,
21-07-2020,,?,"13,994(+5.4%)",44(+1
,,?,,
,,?,,
